ISP,L0,L1,L2,L3,FITS  KW,Type,Lower Limit,Upper Limit,FITS Comment,Comment
X,X,,,,,Integer,0,4294967295,MECH_WEDGE_MOTOR2_MOVE_TIME_SEC,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,4294967295,MECH_WEDGE_MOTOR2_MOVE_TIME_SUBSEC,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,4294967295,MECH_WEDGE_MOTOR2_AMP,FITS comment is ISP mnemonic
X,X,,,,MMWM2POS,Integer,0,65535,MECH_WEDGE_MOTOR2_POS,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,MECH_WEDGE_MOTOR2_MOVE_DUR,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,MECH_WEDGE_MOTOR2_TARGET_POS,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,255,MECH_WEDGE_MOTOR2_DONE,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,255,MECH_WEDGE_MOTOR2_RESERVED,FITS comment is ISP mnemonic
X,X,,,,MIS_DIOD,Integer,0,255,ISS_DIODES,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,255,ISS_GAIN,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,ISS_ISS_X_ERROR,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,ISS_ISS_Y_ERROR,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,ISS_CI_PZT_OFFSET_A,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,ISS_CI_PZT_OFFSET_B,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,ISS_CI_PZT_OFFSET_C,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,ISS_CI_X_ERROR_AVG,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,ISS_CI_X_ERROR_MIN,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,ISS_CI_X_ERROR_MAX,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,ISS_CI_Y_ERROR_AVG,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,ISS_CI_Y_ERROR_MIN,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,ISS_CI_Y_ERROR_MAX,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,255,ISS_CI_ISS_LOOP,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,255,ISS_CI_X_ERROR_OFFSET,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,255,ISS_CI_Y_ERROR_OFFSET,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,255,ISS_CI_RESERVED,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,ISS_SG_PZT_OFFSET_A,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,ISS_SG_PZT_OFFSET_B,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,ISS_SG_PZT_OFFSET_C,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,ISS_SG_X_ERROR_AVG,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,ISS_SG_X_ERROR_MIN,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,ISS_SG_X_ERROR_MAX,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,ISS_SG_Y_ERROR_AVG,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,ISS_SG_Y_ERROR_MIN,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,ISS_SG_Y_ERROR_MAX,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,255,ISS_SG_ISS_LOOP,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,255,ISS_SG_X_ERROR_OFFSET,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,255,ISS_SG_Y_ERROR_OFFSET,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,255,ISS_SG_RESERVED,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,ACS_ACS_STATUS_WD,FITS comment is ISP mnemonic
X,X,,,,MLED1HWP,Integer,0,255,LEDS_LED1,FITS comment is ISP mnemonic
X,X,,,,MLED2HWP,Integer,0,255,LEDS_LED2,FITS comment is ISP mnemonic
X,X,,,,MLED3HWP,Integer,0,255,LEDS_LED3,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,255,LEDS_LED_INTERLOCK,FITS comment is ISP mnemonic
,,X,,,WCSAXES  ,Integer,,,,
,,X,,,CTYPE1   ,String,,,,
,,X,,,CNAME1   ,String,,,,
,,X,,,CUNIT1   ,String,,,,
,,X,,,CRPIX1   ,Float,,,,
,,X,,,CRVAL1   ,Float,,,,
,,X,,,CDELT1   ,Float,,,,
,,X,,,PC1_1    ,Float,,,,
,,X,,,PC1_3    ,Float,,,Slit separation in pixels,
,,X,,,CTYPE2   ,String,,,,
,,X,,,CNAME2   ,String,,,,
,,X,,,CUNIT2   ,String,,,,
,,X,,,CRPIX2   ,Float,,,,
,,X,,,CRVAL2   ,Float,,,,
,,X,,,CDELT2   ,Float,,,,
,,X,,,PC2_2    ,Float,,,cosine of satelite rotation,
,,X,,,PC2_3    ,Float,,,Slit sep in pix * sine of sat rot,
,,X,,,CTYPE3   ,String,,,,
,,X,,,CNAME3   ,String,,,,
